case_number,claimant,respondents,status
ARB/21/64,Smart City Solutions Holdings Inc.,Co-operative Republic of Guyana,Pending
ARB/21/63,TC Energy Corporation and TransCanada Pipelines Limited,United States of America,Pending
ARB/21/62,AGEM Ltd,Republic of Mali,Concluded
ARB/21/61,"Enel, S.p.A.",Republic of Türkiye,Pending
ARB/21/60,VINCI Highways SAS and VINCI Concessions SAS,Republic of Peru,Pending
ARB/21/59,Grupo Energía Bogotá S.A. E.S.P. and Transportadora de Energía de Centroamérica S.A.,Republic of Guatemala,Concluded
ARB/21/58,Congo Mining Ltd SARLU and Midus Holdings Limited,Republic of Congo,Pending
ARB/21/57,"Metro de Lima Línea 2, S.A.",Republic of Peru,Pending
ARB/21/56,"Energía y Renovación Holding, S.A.",Republic of Guatemala,Pending
ARB/21/55,"L1bre Holding, LLC",United Mexican States,Concluded
ARB/21/54,KELAG-Kärntner Elektrizitäts-Aktiengesellschaft and others,Romania,Pending
ARB/21/53,EEPL Holdings,Republic of Congo,Pending
ARB/21/52,SREW N.V.,Ukraine,Pending
ARB/21/51,Discovery Global LLC,Slovak Republic,Pending
ARB/21/50,HeidelbergCement AG and others,Arab Republic of Egypt,Pending
ARB/21/49,Enel Colombia S.A. (formerly ESSA2 SpA) and Enel Costa Rica CAM S.A. (formerly Enel Green Power Costa Rica S.A.),Republic of Costa Rica,Concluded
ARB/21/48,Bayındır İnşaat Turizm Ticaret ve Sanayi A.Ş.,Islamic Republic of Pakistan,Pending
ARB/21/47,PETRONAS International Corporation Ltd and Azhan Bin Ali,Republic of the Sudan,Concluded
ARB/21/46,HSBC Latin American Holdings (UK) Limited,Republic of El Salvador,Pending
ARB/21/45,"Concesionaria Peruana de Vías– COVINCA, S.A.",Republic of Peru,Pending
ARB/21/44,Finetis SARL and Finetis Maroc SA,Kingdom of Morocco,Pending
ARB/21/43,TS Villalba GmbH and others,Kingdom of Spain,Concluded
ARB/21/42,Qiong Ye and Jianping Yang,Kingdom of Cambodia,Pending
ARB/21/41,"Metro de Lima Línea 2, S.A.",Republic of Peru,Pending
ARB/21/40,ADP International S.A. and Vinci Airports S.A.S.,Republic of Chile,Pending
ARB/21/39,Spanish Solar 1 Limited and Spanish Solar 2 Limited,Kingdom of Spain,Pending
ARB/21/38,Menankoto SARL,Republic of Mali,Concluded
